 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
2745,159.539,38.824,0,255,78.481,1019.809,0.804,1,1.500,0.667,0.957
2746,303.654,0.044,0,255,793.273,1022.704,0.879,1,1.250,0.800,0.975
2747,342.843,100.283,0,255,93.514,1024.274,0.864,1,1.211,0.825,0.969
2748,389.587,0.481,0,255,528.436,1024.543,0.896,1,1.039,0.962,0.981
2749,180.366,20.100,0,255,113.816,1023.866,0.783,1,1.731,0.578,0.957
2750,189.495,0.000,0,0,340.841,1022.195,0.865,1,1.211,0.826,0.970
2751,251.768,0.000,0,0,626.704,1024.120,0.876,1,1.109,0.902,0.971
2752,158.175,0.000,0,0,435.878,1024.754,0.766,1,1.532,0.653,0.940
2753,305.175,0.438,0,255,703.081,1029.207,0.882,1,1.255,0.797,0.979
2754,225.012,4.697,0,255,577.559,1028.293,0.801,1,1.417,0.706,0.963
2755,191.908,0.000,0,0,335.175,1029.260,0.883,1,1.154,0.866,0.973
2756,197.102,0.000,0,0,433.388,1029.462,0.798,1,1.405,0.712,0.956
2757,110.171,0.000,0,0,4.949,1026.957,0.687,1,1.018,0.983,0.772
2758,177.901,13.009,0,255,46.255,1029.178,0.892,1,1.043,0.958,0.971
2759,171.133,12.664,0,255,82.061,1028.774,0.839,1,1.177,0.850,0.965
2760,249.565,13.509,0,255,180.423,1031.416,0.825,1,1.216,0.822,0.962
2761,118.461,0.000,0,0,653.515,1028.110,0.893,1,1.034,0.967,0.968
2762,176.747,0.151,0,255,140.801,1031.195,0.857,1,1.394,0.717,0.969
2763,203.345,0.000,0,0,756.267,1030.261,0.884,1,1.249,0.801,0.975
2764,182.150,0.000,0,0,547.601,1029.693,0.823,1,1.296,0.772,0.949
2765,281.724,0.095,0,255,671.913,1033.053,0.793,1,1.733,0.577,0.963
2766,183.619,0.000,0,0,37.040,1029.825,0.887,1,1.227,0.815,0.975
2767,305.227,0.351,0,255,422.801,1034.138,0.850,1,1.400,0.714,0.974
2768,202.191,0.860,0,255,564.275,1032.221,0.809,1,1.463,0.684,0.962
2769,254.339,0.000,0,0,746.504,1032.902,0.797,1,1.426,0.701,0.956
2770,440.424,0.213,0,255,781.507,1033.424,0.809,1,1.577,0.634,0.974
2771,161.008,0.000,0,0,395.723,1032.613,0.887,1,1.127,0.888,0.972
2772,239.282,0.727,0,255,227.879,1035.447,0.879,1,1.281,0.781,0.976
2773,262.680,0.000,0,0,352.889,1035.841,0.886,1,1.209,0.827,0.978
2774,219.189,0.488,0,255,490.540,1036.644,0.851,1,1.446,0.692,0.971
2775,248.201,27.327,0,255,59.425,1037.330,0.887,1,1.179,0.848,0.977
2776,316.140,3.851,0,255,297.150,1037.441,0.881,1,1.168,0.856,0.977
2777,234.613,3.079,0,255,577.348,1035.111,0.838,1,1.323,0.756,0.967
2778,280.308,0.000,0,0,658.801,1036.954,0.821,1,1.426,0.701,0.968
2779,229.629,2.855,0,255,113.665,1036.339,0.833,1,1.256,0.796,0.966
2780,189.547,2.329,0,255,175.287,1036.847,0.839,1,1.444,0.692,0.968
2781,286.551,0.000,0,0,558.029,1040.072,0.838,1,1.101,0.908,0.967
2782,158.175,0.000,0,0,548.037,1035.297,0.867,1,1.337,0.748,0.975
2783,183.777,0.146,0,255,630.482,1038.806,0.808,1,1.364,0.733,0.956
2784,277.947,76.577,0,255,84.340,1042.145,0.792,1,1.481,0.675,0.950
2785,160.850,0.000,0,0,23.094,1038.124,0.850,1,1.477,0.677,0.967
2786,272.806,0.000,0,0,861.255,1041.020,0.759,1,1.422,0.703,0.861
2787,219.189,0.122,0,255,286.225,1039.668,0.812,1,1.159,0.863,0.950
2788,227.740,0.000,0,0,809.600,1038.830,0.887,1,1.172,0.853,0.976
2789,272.648,0.245,0,255,797.840,1040.183,0.883,1,1.230,0.813,0.977
2790,357.900,0.000,0,0,723.824,1041.725,0.806,1,1.352,0.740,0.957
2791,345.256,0.310,0,255,521.574,1042.414,0.881,1,1.059,0.944,0.979
2792,196.472,0.000,0,0,643.303,1038.817,0.718,1,1.598,0.626,0.917
2793,222.599,0.000,0,0,441.738,1043.144,0.789,1,1.583,0.632,0.954
2794,344.522,0.349,0,255,262.327,1042.892,0.829,1,1.164,0.859,0.964
2795,151.512,0.000,0,0,341.739,1041.890,0.803,1,1.126,0.888,0.946
2796,313.202,0.256,0,255,315.572,1046.183,0.806,1,1.542,0.649,0.959
2797,179.999,0.000,0,0,588.105,1042.443,0.884,1,1.111,0.900,0.972
2798,373.849,2.362,0,255,371.578,1047.643,0.836,1,1.479,0.676,0.975
2799,207.752,0.258,0,255,212.718,1043.392,0.901,1,1.040,0.961,0.976
2800,139.760,0.000,0,0,433.570,1042.577,0.833,1,1.256,0.796,0.963
2801,155.237,99.708,0,255,505.745,1043.807,0.840,1,1.526,0.655,0.970
2802,313.149,0.128,0,255,656.607,1046.269,0.821,1,1.193,0.838,0.965
2803,242.062,0.000,0,0,112.783,1046.357,0.884,1,1.074,0.931,0.977
2804,147.682,0.091,0,255,640.191,1046.744,0.743,1,1.738,0.575,0.936
2805,199.515,113.587,0,255,499.040,1049.012,0.787,1,1.542,0.649,0.961
2806,211.687,0.000,0,0,14.586,1047.076,0.889,1,1.175,0.851,0.977
2807,165.834,0.000,0,0,450.365,1047.828,0.896,1,1.097,0.912,0.973
2808,230.153,0.000,0,0,288.783,1049.422,0.821,1,1.230,0.813,0.963
2809,347.932,0.038,0,255,748.347,1050.361,0.892,1,1.118,0.895,0.980
2810,231.465,0.000,0,0,691.330,1050.048,0.848,1,1.271,0.787,0.972
2811,126.750,0.422,0,255,340.667,1047.193,0.835,1,1.334,0.750,0.957
2812,228.684,0.292,0,255,95.836,1051.323,0.887,1,1.176,0.851,0.977
2813,221.759,0.000,0,0,124.789,1051.747,0.862,1,1.295,0.772,0.972
2814,212.159,0.126,0,255,576.285,1051.283,0.868,1,1.258,0.795,0.973
2815,179.107,0.149,0,255,44.330,1051.695,0.847,1,1.394,0.717,0.968
2816,180.839,0.000,0,0,399.253,1051.776,0.854,1,1.419,0.705,0.972
2817,166.411,0.000,0,0,435.724,1050.258,0.818,1,1.572,0.636,0.969
2818,204.080,0.000,0,0,736.859,1052.235,0.837,1,1.372,0.729,0.962
2819,159.644,0.000,0,0,5.360,1051.901,0.739,1,1.307,0.765,0.806
2820,163.683,0.000,0,0,38.232,1052.624,0.842,1,1.289,0.776,0.962
2821,229.944,0.349,0,255,724.040,1051.971,0.809,1,1.111,0.900,0.957
2822,255.703,0.837,0,255,251.861,1053.636,0.893,1,1.046,0.956,0.975
2823,156.076,0.086,0,255,264.593,1052.409,0.851,1,1.091,0.916,0.959
2824,255.965,0.000,0,0,241.572,1055.967,0.866,1,1.317,0.759,0.974
2825,207.437,0.000,0,0,591.835,1052.860,0.778,1,1.236,0.809,0.940
2826,224.697,26.197,0,255,278.286,1055.614,0.856,1,1.311,0.763,0.973
2827,237.865,0.281,0,255,731.446,1057.479,0.792,1,1.382,0.723,0.948
