 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
1408,346.253,0.580,0,255,609.818,501.760,0.815,1,1.232,0.812,0.965
1409,242.010,0.884,0,255,459.986,499.729,0.766,1,1.633,0.612,0.950
1410,125.648,0.319,0,255,490.893,498.871,0.852,1,1.191,0.840,0.958
1411,328.049,1.142,0,255,843.804,503.587,0.835,1,1.127,0.888,0.954
1412,222.704,4.806,0,255,247.482,501.801,0.869,1,1.280,0.781,0.971
1413,219.399,0.671,0,255,595.159,501.979,0.865,1,1.107,0.904,0.966
1414,366.871,0.583,0,255,529.049,503.415,0.857,1,1.374,0.728,0.978
1415,231.045,0.637,0,255,765.223,504.521,0.873,1,1.240,0.806,0.976
1416,238.547,0.280,0,255,33.087,505.950,0.840,1,1.365,0.732,0.962
1417,325.163,24.109,0,255,389.861,506.625,0.800,1,1.144,0.874,0.949
1418,224.540,0.357,0,255,719.459,503.822,0.896,1,1.087,0.920,0.976
1419,196.472,1.838,0,255,831.715,503.665,0.909,1,1.026,0.975,0.980
1420,174.071,0.384,0,255,602.144,506.056,0.789,1,1.520,0.658,0.959
1421,296.466,0.496,0,255,663.778,505.834,0.833,1,1.242,0.805,0.963
1422,222.651,0.000,0,0,205.280,507.089,0.840,1,1.286,0.778,0.966
1423,339.853,0.433,0,255,470.886,508.647,0.819,1,1.330,0.752,0.962
1424,199.410,0.335,0,255,496.856,505.312,0.867,1,1.141,0.877,0.970
1425,266.825,0.501,0,255,732.394,507.438,0.882,1,1.196,0.836,0.976
1426,287.705,0.883,0,255,240.813,507.603,0.771,1,1.582,0.632,0.958
1427,220.605,0.061,0,255,349.613,506.923,0.817,1,1.234,0.810,0.951
1428,315.353,0.042,0,255,92.511,508.285,0.847,1,1.356,0.738,0.964
1429,129.425,0.413,0,255,504.534,506.438,0.886,1,1.085,0.921,0.968
1430,249.040,14.235,0,255,399.549,510.044,0.865,1,1.239,0.807,0.975
1431,292.636,0.229,0,255,128.480,510.610,0.837,1,1.136,0.880,0.964
1432,232.986,1.837,0,255,627.576,508.678,0.905,1,1.030,0.971,0.974
1433,195.371,0.548,0,255,754.780,508.048,0.899,1,1.100,0.909,0.977
1434,159.119,0.084,0,255,215.544,507.710,0.901,1,1.035,0.966,0.973
1435,232.357,0.173,0,255,118.402,507.856,0.849,1,1.188,0.842,0.971
1436,351.080,1.410,0,255,259.348,511.715,0.790,1,1.144,0.874,0.955
1437,188.656,0.355,0,255,429.016,508.916,0.881,1,1.273,0.785,0.973
1438,339.171,2.643,0,255,805.310,511.230,0.845,1,1.313,0.762,0.975
1439,157.230,0.340,0,255,555.201,508.870,0.875,1,1.113,0.899,0.972
1440,351.027,0.114,0,255,284.704,514.795,0.849,1,1.226,0.816,0.969
1441,257.591,1.195,0,255,230.262,514.114,0.821,1,1.417,0.706,0.971
1442,211.949,0.316,0,255,688.708,512.161,0.894,1,1.203,0.831,0.976
1443,273.855,0.635,0,255,440.728,514.077,0.889,1,1.118,0.894,0.977
1444,302.709,0.177,0,255,670.040,514.422,0.832,1,1.162,0.861,0.957
1445,198.728,0.000,0,0,515.075,512.540,0.875,1,1.203,0.831,0.972
1446,301.188,0.577,0,255,613.293,515.467,0.879,1,1.219,0.820,0.978
1447,193.692,0.622,0,255,847.618,512.371,0.830,1,1.261,0.793,0.961
1448,183.514,0.000,0,0,79.168,513.668,0.886,1,1.054,0.949,0.971
1449,193.849,0.000,0,0,154.898,516.670,0.755,1,1.684,0.594,0.949
1450,195.738,0.137,0,255,316.837,514.002,0.898,1,1.122,0.891,0.976
1451,304.336,0.088,0,255,563.023,516.358,0.894,1,1.059,0.945,0.977
1452,213.523,0.501,0,255,771.486,515.958,0.870,1,1.210,0.826,0.972
1453,259.533,0.000,0,0,856.769,516.523,0.870,1,1.138,0.878,0.973
1454,225.327,0.356,0,255,647.785,518.365,0.865,1,1.321,0.757,0.976
1455,129.635,0.000,0,0,202.174,516.147,0.858,1,1.242,0.805,0.968
1456,163.316,0.000,0,0,6.070,517.172,0.804,1,1.108,0.903,0.873
1457,340.850,0.275,0,255,65.036,520.067,0.771,1,1.148,0.871,0.948
1458,222.704,0.000,0,0,93.547,518.157,0.841,1,1.387,0.721,0.970
1459,158.909,0.168,0,255,111.971,516.877,0.841,1,1.244,0.804,0.963
1460,212.788,1.383,0,255,454.697,519.287,0.847,1,1.141,0.877,0.966
1461,200.669,0.133,0,255,489.369,518.702,0.851,1,1.206,0.829,0.963
1462,162.109,0.083,0,255,38.453,518.497,0.838,1,1.120,0.893,0.960
1463,490.001,0.710,0,255,547.849,523.225,0.677,1,1.725,0.580,0.921
1464,243.217,0.055,0,255,499.923,520.551,0.866,1,1.100,0.909,0.971
1465,391.581,1.401,0,255,465.715,523.457,0.803,1,1.215,0.823,0.958
1466,303.444,0.970,0,255,752.806,521.226,0.843,1,1.306,0.766,0.968
1467,248.410,0.269,0,255,138.500,522.954,0.863,1,1.250,0.800,0.975
1468,233.668,24.332,0,255,394.182,522.297,0.896,1,1.022,0.979,0.978
1469,260.792,0.051,0,255,723.396,522.083,0.834,1,1.368,0.731,0.969
1470,162.057,0.248,0,255,108.006,521.498,0.820,1,1.176,0.851,0.956
1471,150.410,1.423,0,255,447.224,522.266,0.869,1,1.137,0.880,0.965
1472,193.167,0.831,0,255,512.210,523.315,0.841,1,1.278,0.783,0.962
1473,171.500,1.092,0,255,408.175,523.360,0.901,1,1.114,0.898,0.976
1474,324.429,0.907,0,255,523.438,526.095,0.783,1,1.162,0.861,0.942
1475,275.324,2.089,0,255,629.163,525.072,0.681,1,1.430,0.699,0.893
1476,202.191,0.132,0,255,505.707,526.955,0.843,1,1.177,0.850,0.971
1477,238.023,0.562,0,255,740.929,526.196,0.840,1,1.065,0.939,0.966
1478,153.243,0.175,0,255,26.380,525.198,0.808,1,1.396,0.716,0.955
1479,229.734,0.699,0,255,578.709,525.283,0.775,1,1.446,0.692,0.941
1480,221.497,0.000,0,0,85.884,528.412,0.780,1,1.798,0.556,0.972
1481,130.999,0.511,0,255,537.908,524.624,0.859,1,1.397,0.716,0.971
1482,264.989,0.202,0,255,60.228,528.913,0.799,1,1.323,0.756,0.955
1483,145.636,0.459,0,255,299.251,524.535,0.828,1,1.453,0.688,0.966
1484,366.923,0.000,0,0,834.236,529.583,0.790,1,1.155,0.865,0.955
1485,257.382,0.000,0,0,857.509,527.704,0.893,1,1.142,0.876,0.977
1486,218.140,0.368,0,255,112.764,527.870,0.808,1,1.149,0.870,0.947
1487,275.953,0.097,0,255,155.260,529.559,0.790,1,1.191,0.840,0.952
1488,150.515,0.356,0,255,9.038,526.961,0.854,1,1.219,0.820,0.961
1489,303.339,0.088,0,255,50.695,530.111,0.763,1,1.333,0.750,0.950
1490,197.836,0.135,0,255,419.736,527.434,0.832,1,1.479,0.676,0.969
1491,262.838,0.865,0,255,482.925,530.223,0.882,1,1.210,0.827,0.977
1492,452.752,1.625,0,255,438.219,534.358,0.851,1,1.116,0.896,0.970
1493,224.120,0.597,0,255,712.262,530.546,0.894,1,1.163,0.860,0.978
1494,412.461,0.357,0,255,729.999,535.103,0.834,1,1.253,0.798,0.963
1495,318.658,0.252,0,255,17.211,532.348,0.827,1,1.314,0.761,0.967
1496,208.224,0.128,0,255,297.478,531.303,0.839,1,1.195,0.837,0.965
1497,265.985,0.251,0,255,97.029,533.041,0.826,1,1.163,0.860,0.955
1498,191.489,2.585,0,255,796.124,530.935,0.879,1,1.098,0.911,0.972
